"id","trial","type","explain","card1","card2","card3","trialid","memory",,,,,,,,,,
999,1,15,1,,,,,,,,,,,,,,,
999,2,-1,1,,,,,,,,,,,,,,,
999,3,14,1,,,,,,,,,,,,,,,
999,4,-11,1,,,,,,,,,,,,,,,
999,5,7,0,,,,,,,,,,,,,,,
999,6,2,0,3311,1113,2212,,,,,,,,,,,,
999,7,0,0,,,,,,,,,,,,,,,
999,8,-8,0,,,,,,,,,,,,,,,
999,9,-13,0,1211,1213,2113,,,,,,,,,,,,
999,10,0,0,1332,2221,3113,,,,,,,,,,,,
999,11,-11,0,,,,,,,,,,,,,,,
999,12,4,0,3311,1333,2322,,,,,,,,,,,,
999,13,14,0,,,,,,,,,,,,,,,
999,14,-1,0,2313,2321,2331,,,,,,,,,,,,
999,15,0,0,3111,2322,1233,,,,,,,,,,,,
999,16,-14,0,,,,,,,,,,,,,,,
999,17,-4,0,3321,2121,1121,,,,,,,,,,,,
999,18,11,0,,,,,,,,,,,,,,,
999,19,1,0,,,,,,,,,,,,,,,
999,20,0,0,,,,,,,,,,,,,,,
999,21,-7,0,2211,2332,2212,,,,,,,,,,,,
999,22,8,0,,,,,,,,,,,,,,,
999,23,-2,0,3223,1232,2221,,,,,,,,,,,,
999,24,13,0,2122,2112,2132,,,,,,,,,,,,
"pa6.01.a",1,15,1,1231,1231,1231,85342,0,,,,,,,,,,
"pa6.01.a",2,-1,1,2332,1321,3311,52425,0,,,,,,,,,,
"pa6.01.a",3,14,1,1211,1213,1212,25681,0,,,,,,,,,,
"pa6.01.a",4,-11,1,1332,1132,2223,21600,0,,,,,,,,,,
"pa6.01.a",5,-13,0,1311,2233,2223,46723,0,,,,,,,,,,
"pa6.01.a",6,7,0,1222,2222,3222,36622,0,,,,,,,,,,
"pa6.01.a",7,0,0,2131,1322,3213,53368,0,,,,,,,,,,
"pa6.01.a",8,2,0,3212,1113,2311,8633,0,,,,,,,,,,
"pa6.01.a",9,-8,0,1321,2122,1223,37800,0,,,,,,,,,,
"pa6.01.a",10,0,0,1231,2312,3123,41058,0,,,,,,,,,,
"pa6.01.a",11,-11,0,1121,2232,1322,10480,0,,,,,,,,,,
"pa6.01.a",12,14,0,1332,1333,1331,56061,0,,,,,,,,,,
"pa6.01.a",13,-1,0,2331,1211,3123,27738,0,,,,,,,,,,
"pa6.01.a",14,4,0,3333,1311,2322,47035,0,,,,,,,,,,
"pa6.01.a",15,0,0,3131,2322,1213,32441,0,,,,,,,,,,
"pa6.01.a",16,-4,0,1323,1232,1311,41708,0,,,,,,,,,,
"pa6.01.a",17,-14,0,2131,3113,2332,68703,0,,,,,,,,,,
"pa6.01.a",18,11,0,3332,3232,3132,84305,0,,,,,,,,,,
"pa6.01.a",19,1,0,1233,2313,3123,45060,0,,,,,,,,,,
"pa6.01.a",20,-7,0,2131,2232,2111,60776,0,,,,,,,,,,
