"Card1","Card2","Card3","Status","Matching_Attributes","Broken_Attributes","Type"
"1111","1112","1113","Set","1110",NA,"14"
"1111","1112","1121","No set",NA,"0011","-3"
"1111","1112","1122","No set",NA,"0011","-3"
"1111","1112","1123","No set",NA,"0010","-2"
"1111","1112","1131","No set",NA,"0011","-3"
"1111","1112","1132","No set",NA,"0011","-3"
"1111","1112","1133","No set",NA,"0010","-2"
"1111","1112","1211","No set",NA,"0101","-5"
"1111","1112","1212","No set",NA,"0101","-5"
"1111","1112","1213","No set",NA,"0100","-4"
"1111","1112","1221","No set",NA,"0111","-7"
"1111","1112","1222","No set",NA,"0111","-7"
"1111","1112","1223","No set",NA,"0110","-6"
"1111","1112","1231","No set",NA,"0111","-7"
"1111","1112","1232","No set",NA,"0111","-7"
"1111","1112","1233","No set",NA,"0110","-6"
"1111","1112","1311","No set",NA,"0101","-5"
"1111","1112","1312","No set",NA,"0101","-5"
"1111","1112","1313","No set",NA,"0100","-4"
"1111","1112","1321","No set",NA,"0111","-7"
"1111","1112","1322","No set",NA,"0111","-7"
"1111","1112","1323","No set",NA,"0110","-6"
"1111","1112","1331","No set",NA,"0111","-7"
"1111","1112","1332","No set",NA,"0111","-7"
"1111","1112","1333","No set",NA,"0110","-6"
"1111","1112","2111","No set",NA,"1001","-9"
"1111","1112","2112","No set",NA,"1001","-9"
"1111","1112","2113","No set",NA,"1000","-8"
"1111","1112","2121","No set",NA,"1011","-11"
"1111","1112","2122","No set",NA,"1011","-11"
"1111","1112","2123","No set",NA,"1010","-10"
"1111","1112","2131","No set",NA,"1011","-11"
"1111","1112","2132","No set",NA,"1011","-11"
"1111","1112","2133","No set",NA,"1010","-10"
"1111","1112","2211","No set",NA,"1101","-13"
"1111","1112","2212","No set",NA,"1101","-13"
"1111","1112","2213","No set",NA,"1100","-12"
"1111","1112","2221","No set",NA,"1111","-15"
"1111","1112","2222","No set",NA,"1111","-15"
"1111","1112","2223","No set",NA,"1110","-14"
"1111","1112","2231","No set",NA,"1111","-15"
"1111","1112","2232","No set",NA,"1111","-15"
"1111","1112","2233","No set",NA,"1110","-14"
"1111","1112","2311","No set",NA,"1101","-13"
"1111","1112","2312","No set",NA,"1101","-13"
"1111","1112","2313","No set",NA,"1100","-12"
"1111","1112","2321","No set",NA,"1111","-15"
"1111","1112","2322","No set",NA,"1111","-15"
"1111","1112","2323","No set",NA,"1110","-14"
"1111","1112","2331","No set",NA,"1111","-15"
"1111","1112","2332","No set",NA,"1111","-15"
"1111","1112","2333","No set",NA,"1110","-14"
"1111","1112","3111","No set",NA,"1001","-9"
"1111","1112","3112","No set",NA,"1001","-9"
"1111","1112","3113","No set",NA,"1000","-8"
"1111","1112","3121","No set",NA,"1011","-11"
"1111","1112","3122","No set",NA,"1011","-11"
"1111","1112","3123","No set",NA,"1010","-10"
"1111","1112","3131","No set",NA,"1011","-11"
"1111","1112","3132","No set",NA,"1011","-11"
"1111","1112","3133","No set",NA,"1010","-10"
"1111","1112","3211","No set",NA,"1101","-13"
"1111","1112","3212","No set",NA,"1101","-13"
"1111","1112","3213","No set",NA,"1100","-12"
"1111","1112","3221","No set",NA,"1111","-15"
"1111","1112","3222","No set",NA,"1111","-15"
"1111","1112","3223","No set",NA,"1110","-14"
"1111","1112","3231","No set",NA,"1111","-15"
"1111","1112","3232","No set",NA,"1111","-15"
"1111","1112","3233","No set",NA,"1110","-14"
"1111","1112","3311","No set",NA,"1101","-13"
"1111","1112","3312","No set",NA,"1101","-13"
"1111","1112","3313","No set",NA,"1100","-12"
"1111","1112","3321","No set",NA,"1111","-15"
"1111","1112","3322","No set",NA,"1111","-15"
"1111","1112","3323","No set",NA,"1110","-14"
"1111","1112","3331","No set",NA,"1111","-15"
"1111","1112","3332","No set",NA,"1111","-15"
"1111","1112","3333","No set",NA,"1110","-14"
"1111","1113","1121","No set",NA,"0011","-3"
"1111","1113","1122","No set",NA,"0010","-2"
"1111","1113","1123","No set",NA,"0011","-3"
"1111","1113","1131","No set",NA,"0011","-3"
"1111","1113","1132","No set",NA,"0010","-2"
"1111","1113","1133","No set",NA,"0011","-3"
"1111","1113","1211","No set",NA,"0101","-5"
"1111","1113","1212","No set",NA,"0100","-4"
"1111","1113","1213","No set",NA,"0101","-5"
"1111","1113","1221","No set",NA,"0111","-7"
"1111","1113","1222","No set",NA,"0110","-6"
"1111","1113","1223","No set",NA,"0111","-7"
"1111","1113","1231","No set",NA,"0111","-7"
"1111","1113","1232","No set",NA,"0110","-6"
"1111","1113","1233","No set",NA,"0111","-7"
"1111","1113","1311","No set",NA,"0101","-5"
"1111","1113","1312","No set",NA,"0100","-4"
"1111","1113","1313","No set",NA,"0101","-5"
"1111","1113","1321","No set",NA,"0111","-7"
"1111","1113","1322","No set",NA,"0110","-6"
"1111","1113","1323","No set",NA,"0111","-7"
"1111","1113","1331","No set",NA,"0111","-7"
"1111","1113","1332","No set",NA,"0110","-6"
"1111","1113","1333","No set",NA,"0111","-7"
"1111","1113","2111","No set",NA,"1001","-9"
"1111","1113","2112","No set",NA,"1000","-8"
"1111","1113","2113","No set",NA,"1001","-9"
"1111","1113","2121","No set",NA,"1011","-11"
"1111","1113","2122","No set",NA,"1010","-10"
"1111","1113","2123","No set",NA,"1011","-11"
"1111","1113","2131","No set",NA,"1011","-11"
"1111","1113","2132","No set",NA,"1010","-10"
"1111","1113","2133","No set",NA,"1011","-11"
"1111","1113","2211","No set",NA,"1101","-13"
"1111","1113","2212","No set",NA,"1100","-12"
"1111","1113","2213","No set",NA,"1101","-13"
"1111","1113","2221","No set",NA,"1111","-15"
"1111","1113","2222","No set",NA,"1110","-14"
"1111","1113","2223","No set",NA,"1111","-15"
"1111","1113","2231","No set",NA,"1111","-15"
"1111","1113","2232","No set",NA,"1110","-14"
"1111","1113","2233","No set",NA,"1111","-15"
"1111","1113","2311","No set",NA,"1101","-13"
"1111","1113","2312","No set",NA,"1100","-12"
"1111","1113","2313","No set",NA,"1101","-13"
"1111","1113","2321","No set",NA,"1111","-15"
"1111","1113","2322","No set",NA,"1110","-14"
"1111","1113","2323","No set",NA,"1111","-15"
"1111","1113","2331","No set",NA,"1111","-15"
"1111","1113","2332","No set",NA,"1110","-14"
"1111","1113","2333","No set",NA,"1111","-15"
"1111","1113","3111","No set",NA,"1001","-9"
"1111","1113","3112","No set",NA,"1000","-8"
"1111","1113","3113","No set",NA,"1001","-9"
"1111","1113","3121","No set",NA,"1011","-11"
"1111","1113","3122","No set",NA,"1010","-10"
"1111","1113","3123","No set",NA,"1011","-11"
"1111","1113","3131","No set",NA,"1011","-11"
"1111","1113","3132","No set",NA,"1010","-10"
"1111","1113","3133","No set",NA,"1011","-11"
"1111","1113","3211","No set",NA,"1101","-13"
"1111","1113","3212","No set",NA,"1100","-12"
"1111","1113","3213","No set",NA,"1101","-13"
"1111","1113","3221","No set",NA,"1111","-15"
"1111","1113","3222","No set",NA,"1110","-14"
"1111","1113","3223","No set",NA,"1111","-15"
